component_type,search_term,tags,playbook_ids,default_or_upsell
CPU cooling,Thermalright Assassin X 120 SE,Curated,FF-FAM-01; FF-FAM-02; FF-GVG-01; FF-STU-01; FF-STU-02,upsell
CPU cooling,Thermalright Peerless Assassin 120 SE,Curated; ASIN:B0B4G8QKZP,FF-AIW-01; FF-GVG-01; FF-GVG-02; FF-SWD-01,upsell
CPU cooling,Thermalright Phantom Spirit 120 SE,Curated; ASIN:B0DWSP4VKS,FF-HPG-01,default
Case,APNX Creator C1 ChromaFlair,Curated,FF-FAM-03; FF-HPG-02,default
Case,ASUS NUC 14 Pro-style compact chassis,Curated,FF-STU-01,default
Case,ASUS ProArt PA602,Curated,FF-CCR-02,default
Case,Corsair 3500X,Curated; ASIN:B0FJ2V6VVP,FF-CCR-01,default
Case,Corsair 9000D Airflow,Curated,FF-AIW-03,default
Case,Fractal Design Core 1100,Curated,FF-BOF-01; FF-FAM-01,default
Case,Fractal Design Define 7 Compact,Curated,FF-BOF-02,default
Case,Fractal Design Define 7 XL,Curated,FF-CCR-03; FF-SWD-03,default
Case,Fractal Design Meshify 2 Compact,Curated,FF-AIW-01,default
Case,Fractal Design Meshify 2 XL,Curated,FF-AIW-02,default
Case,Fractal Design North,Curated,FF-SWD-02,default
Case,Fractal Design North XL,Curated; ASIN:B0CJCJ3ZZB,FF-HPG-03,default
Case,Fractal Design Pop Air,Curated,FF-STU-02; FF-SWD-01,default
Case,Lian Li LANCOOL 207,Curated,FF-GVG-03; FF-STU-03,default
Case,Montech AIR 100 ARGB,Curated,FF-FAM-02; FF-GVG-01,default
Case,Montech SKY TWO GX,Curated,FF-GVG-02,default
Case,NZXT H5 Flow,Curated; ASIN:B0D2MK6NML,FF-HPG-01,default
Case,Premium compact aluminium mini-PC chassis,Curated,FF-BOF-03,default
Graphics,AMD Radeon RX 9060 XT 16GB,Curated; ASIN:B0F9QM1M6R,FF-FAM-01; FF-FAM-02; FF-GVG-01; FF-GVG-02,upsell
Graphics,AMD Radeon RX 9070 16GB,Curated,FF-FAM-02; FF-FAM-03; FF-GVG-02; FF-GVG-03,upsell
Graphics,AMD Radeon RX 9070 XT 16GB,Curated; ASIN:B0DT7B79K9,FF-HPG-01; FF-HPG-02,upsell
Graphics,ASRock AMD Radeon AI PRO R9700 Creator 32GB,Curated,FF-AIW-01; FF-AIW-02,upsell
Graphics,Intel Arc B580 12GB,Curated,FF-STU-01; FF-STU-02; FF-SWD-01,upsell
Graphics,NVIDIA GeForce RTX 5050 8GB,Curated,FF-GVG-01,default
Graphics,NVIDIA GeForce RTX 5060 Ti 16GB,Curated; ASIN:B0F4DVKSZ4,FF-AIW-01; FF-CCR-01; FF-HPG-01; FF-SWD-01; FF-SWD-02,upsell
Graphics,NVIDIA GeForce RTX 5070 Ti 16GB,Curated; ASIN:B0DTGPC5KR,FF-STU-02; FF-STU-03,upsell
Graphics,NVIDIA GeForce RTX 5080 16GB,Curated,FF-CCR-01; FF-CCR-02; FF-SWD-02; FF-SWD-03,upsell
Graphics,NVIDIA GeForce RTX 5090 32GB,Curated; ASIN:B0DTHV8THW,FF-CCR-02; FF-CCR-03; FF-HPG-02; FF-HPG-03,upsell
Graphics,NVIDIA RTX 6000 Ada 48GB,Curated,FF-AIW-02; FF-AIW-03,upsell
Memory,128GB (4x32GB) DDR5-5600,Curated,FF-AIW-01; FF-AIW-02; FF-CCR-02; FF-CCR-03; FF-SWD-02; FF-SWD-03,upsell
Memory,256GB (8x32GB) DDR5 ECC RDIMM,Curated,FF-AIW-02; FF-AIW-03,upsell
Memory,32GB (2x16GB) DDR4-3200,Curated; ASIN:B0CB2TZKCG,FF-BOF-01; FF-FAM-01; FF-GVG-01,default
Memory,32GB (2x16GB) DDR5-6000 CL30,Curated; ASIN:B0BPTKD797,FF-FAM-01; FF-FAM-02; FF-GVG-01; FF-GVG-02; FF-GVG-03; FF-STU-01; FF-STU-02,upsell
Memory,32GB (2x16GB) DDR5-6400,Curated,FF-BOF-01; FF-BOF-02; FF-HPG-01,upsell
Memory,32GB (2x16GB) Lexar DDR5-6400 CL38,Curated,FF-HPG-01; FF-HPG-02,upsell
Memory,32GB LPDDR5X,Curated; ASIN:B0CT9BMGLF,FF-STU-01,default
Memory,64GB (2x32GB) DDR5-6000 CL30,Curated; ASIN:B0C5M7J967,FF-AIW-01; FF-FAM-02; FF-FAM-03; FF-HPG-03; FF-SWD-01,upsell
Memory,64GB (2x32GB) DDR5-6400,Curated,FF-CCR-01; FF-CCR-02; FF-STU-02; FF-STU-03,upsell
Memory,64GB LPDDR5X,Curated; ASIN:B0C5M7J967,FF-BOF-03,default
Memory,96GB (2x48GB) DDR5-6400,Curated,FF-SWD-01; FF-SWD-02,upsell
Motherboard,ASRock B850 Steel Legend WiFi,Curated,FF-FAM-01; FF-FAM-02; FF-GVG-01; FF-GVG-02,upsell
Motherboard,ASUS PRIME X870-P,Curated,FF-HPG-02,default
Motherboard,ASUS Pro Q870M-C-CSM,Curated,FF-BOF-01; FF-BOF-02,upsell
Motherboard,ASUS Pro WS WRX90E-SAGE SE,Curated,FF-AIW-02; FF-AIW-03,upsell
Motherboard,ASUS ProArt X870E-Creator WiFi,Curated; ASIN:B09KB8GGN1,FF-AIW-01; FF-AIW-02; FF-CCR-03; FF-SWD-03,upsell
Motherboard,ASUS ProArt Z890-CREATOR WIFI,Curated,FF-CCR-01; FF-CCR-02; FF-SWD-01; FF-SWD-02,upsell
Motherboard,ASUS ROG Crosshair X870E Hero,Curated,FF-HPG-02; FF-HPG-03,upsell
Motherboard,ASUS TUF GAMING Z890-PLUS WIFI,Curated,FF-STU-02; FF-STU-03,upsell
Motherboard,ASUS TUF Gaming X870-PLUS WIFI,Curated; ASIN:B0DGQ9C2TH,FF-FAM-02; FF-FAM-03; FF-GVG-02; FF-GVG-03,upsell
Motherboard,MSI B550M PRO-VDH WIFI,Curated; ASIN:B08BCR4ZRS,FF-BOF-01; FF-FAM-01; FF-GVG-01,default
Motherboard,MSI B850 GAMING PLUS WIFI,Curated; ASIN:B096Y1H9VR,FF-STU-01; FF-STU-02; FF-SWD-01,upsell
Motherboard,MSI MAG B850 Tomahawk MAX WiFi,Curated,FF-AIW-01,default
Motherboard,MSI Z890 GAMING PLUS WIFI,Curated,FF-CCR-01; FF-HPG-01,default
Power supply,Corsair AX1600i 1600W 80+ Titanium,Curated,FF-AIW-02; FF-AIW-03,upsell
Power supply,Corsair CX550 550W 80+ Bronze,Curated,FF-BOF-01; FF-FAM-01,default
Power supply,Corsair CX650 650W 80+ Bronze,Curated,FF-GVG-01,default
Power supply,Corsair HX1200i 1200W 80+ Platinum,Curated,FF-CCR-02; FF-CCR-03; FF-HPG-02; FF-HPG-03,upsell
Power supply,Corsair RM1000x 1000W 80+ Gold,Curated,FF-AIW-01; FF-AIW-02; FF-CCR-01; FF-CCR-02; FF-SWD-02; FF-SWD-03,upsell
Power supply,Corsair RM650e 650W 80+ Gold,Curated,FF-BOF-01; FF-BOF-02; FF-FAM-01; FF-FAM-02; FF-STU-01; FF-STU-02; FF-SWD-01,upsell
Power supply,Corsair RM750e 750W 80+ Gold,Curated,FF-AIW-01; FF-CCR-01; FF-GVG-01; FF-GVG-02; FF-HPG-01,upsell
Power supply,Corsair RM750i 750W modular,Curated,FF-HPG-02,default
Power supply,Corsair RM850e 850W 80+ Gold,Curated,FF-FAM-02; FF-FAM-03; FF-GVG-02; FF-GVG-03; FF-STU-02; FF-STU-03; FF-SWD-01; FF-SWD-02,upsell
Primary storage,1TB PCIe 3.0 NVMe SSD,Curated,FF-HPG-02,default
Primary storage,1TB PCIe 4.0 NVMe SSD,Curated; ASIN:B0B9C3ZVHR,FF-BOF-01; FF-FAM-01; FF-GVG-01; FF-HPG-01; FF-STU-01,default
Primary storage,2TB PCIe 4.0 NVMe SSD,Curated,FF-AIW-01; FF-BOF-01; FF-BOF-02; FF-BOF-03; FF-CCR-01; FF-FAM-01; FF-FAM-02; FF-GVG-01; FF-GVG-02; FF-GVG-03; FF-STU-01; FF-STU-02; FF-STU-03; FF-SWD-01,upsell
Primary storage,4TB PCIe 4.0 NVMe SSD,Curated,FF-AIW-01; FF-AIW-02; FF-CCR-01; FF-CCR-02; FF-FAM-02; FF-FAM-03; FF-HPG-02; FF-HPG-03; FF-SWD-01; FF-SWD-02,upsell
Primary storage,4TB PCIe 4.0 NVMe SSD + 4TB build-cache SSD,Curated,FF-SWD-02; FF-SWD-03,upsell
Primary storage,4TB PCIe 4.0 NVMe SSD + 4TB project SSD,Curated,FF-CCR-02; FF-CCR-03,upsell
Primary storage,4TB PCIe 4.0 NVMe SSD + 8TB data SSD,Curated,FF-AIW-02; FF-AIW-03,upsell
